"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"SBNY","Signature Bank","Common stocks","Large cap","Financials","$13,542,288,306","1.00%","13.31","6.24","1.68","Analyze"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$13,448,605,080","1.79%","24.55","1.56","-36.33","Analyze"
"BEN","Franklin Resources Inc","Common stocks","Large cap","Financials","$13,387,968,657","4.20%","7.14","1.55","1.17","Analyze"
"SJM","J.M. Smucker","Common stocks","Large cap","Consumer Staples","$13,368,581,644","3.18%","24.51","1.70","1.71","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$13,310,236,460","0.48%","27.44","4.72","3.53","Analyze"
"NI","Nisource Inc","Common stocks","Large cap","Utilities","$12,888,148,005","2.83%","19.50","2.47","1.79","Analyze"
"NDSN","Nordson Corp","Common stocks","Large cap","Industrials","$12,725,058,655","0.92%","25.69","5.20","5.76","Analyze"
"CTXS","Citrix Systems Inc","Common stocks","Large cap","Information Technology","$12,574,449,849","1.11%","45.02","3.85","18.81","Analyze"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$12,448,206,797","0.00%","29.73","3.43","4.81","Analyze"
"WRK","Westrock","Common stocks","Large cap","Materials","$12,383,257,125","2.02%","15.87","0.61","1.09","Analyze"
"HAS","Hasbro Inc","Common stocks","Large cap","Consumer Discretionary","$12,350,413,988","3.06%","33.14","1.91","4.07","Analyze"
"IPG","Interpublic Group Of Companies Inc","Common stocks","Large cap","Communication Services","$12,329,562,399","3.53%","12.19","1.17","3.57","Analyze"
"CBOE","Cboe Global Markets, Inc.","Common stocks","Large cap","Financials","$12,201,066,693","1.66%","24.17","3.53","3.39","Analyze"
"LUMN","CenturyLink, Inc.","Common stocks","Large cap","Communication Services","$12,117,739,173","8.30%","5.68","0.63","1.00","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$11,851,180,014","0.00%","54.21","11.49","8.13","Analyze"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$11,825,598,387","2.46%","14.19","2.53","2.79","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Large cap","Information Technology","$11,644,987,585","0.00%","11.44","2.51","2.60","Analyze"
"HSIC","Henry Schein Inc","Common stocks","Large cap","Health Care","$11,618,353,729","0.00%","18.23","0.92","3.28","Analyze"
"AAP","Advance Auto Parts Inc","Common stocks","Large cap","Consumer Discretionary","$11,566,440,221","2.34%","18.39","1.05","3.62","Analyze"
"DISH","Dish Network Corp Class A","Common stocks","Large cap","Communication Services","$11,319,369,188","0.00%","2.80","0.64","0.39","Analyze"
"RE","Everest Re Group Ltd","Common stocks","Large cap","Financials","$11,255,200,261","2.19%","8.51","0.98","1.19","Analyze"
"CZR","Caesars Entertainment Corp","Common stocks","Large cap","Consumer Discretionary","$11,219,923,715","0.00%","-18.84","1.11","2.97","Analyze"
"REG","Regency Centers Corporation","REITs","Large cap","Real Estate","$11,194,933,528","3.71%","14.48","9.37","1.86","Analyze"
"TAP","Molson Coors Brewing Class B","Common stocks","Large cap","Consumer Staples","$10,984,991,388","2.64%","10.21","0.83","0.81","Analyze"
"NRG","NRG Energy Inc","Common stocks","Large cap","Utilities","$10,969,618,979","2.88%","2.73","0.41","2.18","Analyze"
"PHM","Pultegroup Inc","Common stocks","Large cap","Consumer Discretionary","$10,721,719,772","1.28%","5.15","0.75","1.45","Analyze"
"CMA","Comerica Inc","Common stocks","Large cap","Financials","$10,693,577,906","3.29%","10.93","3.88","1.52","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$10,656,387,279","0.00%","23.76","4.52","15.30","Analyze"
"AAL","American Airlines Group Inc","Common stocks","Large cap","Industrials","$10,587,092,022","0.00%","-4.56","0.30","-1.21","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Large cap","Financials","$10,539,900,503","0.96%","43.99","15.29","10.41","Analyze"
"UHS","Universal Health Services Inc.","Common stocks","Large cap","Health Care","$10,296,929,664","0.66%","8.78","0.80","1.40","Analyze"
"NWS","News Corp Class B","Common stocks","Large cap","Communication Services","$10,241,343,418","1.13%","7.05","1.00","0.42","Analyze"
"NWSA","News Corp Class A","Common stocks","Large cap","Communication Services","$10,241,343,418","1.15%","13.68","1.00","0.81","Analyze"
"FFIV","F5 Networks Inc","Common stocks","Large cap","Information Technology","$10,067,987,276","0.00%","28.68","3.79","4.19","Analyze"
"RHI","Robert Half","Common stocks","Large cap","Industrials","$10,029,106,296","1.77%","15.50","1.46","7.00","Analyze"
"AOS","A O Smith Corp","Common stocks","Mid cap","Industrials","$9,989,653,940","1.77%","15.78","2.67","4.44","Analyze"
"LW","Lamb Weston Holdings Inc","Common stocks","Mid cap","Consumer Staples","$9,963,946,127","1.38%","42.55","2.52","25.42","Analyze"
"JNPR","Juniper Networks Inc","Common stocks","Mid cap","Information Technology","$9,919,030,069","2.66%","29.40","2.05","2.34","Analyze"
"AIZ","Assurant Inc","Common stocks","Mid cap","Financials","$9,907,304,405","1.47%","7.41","0.97","2.00","Analyze"
"WHR","Whirlpool Corp","Common stocks","Mid cap","Consumer Discretionary","$9,879,251,192","3.54%","5.85","0.46","2.13","Analyze"
"ALLE","Allegion PLC","Common stocks","Mid cap","Industrials","$9,841,175,434","1.32%","21.27","3.40","13.42","Analyze"
"LNC","Lincoln National Corp","Common stocks","Mid cap","Financials","$9,783,776,391","3.03%","7.61","0.51","0.66","Analyze"
"GL","Globe Life Inc.","Common stocks","Mid cap","Financials","$9,635,153,107","0.82%","13.36","1.87","1.42","Analyze"
"BWA","BorgWarner Inc","Common stocks","Mid cap","Consumer Discretionary","$9,602,160,469","1.69%","14.20","0.65","1.35","Analyze"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$9,503,785,097","2.95%","7.38","1.49","-7.67","Analyze"
"SEE","Sealed Air Corp","Common stocks","Mid cap","Materials","$9,289,508,777","0.94%","17.11","1.63","49.07","Analyze"
"FBHS","Fortune Brands Home And Security","Common stocks","Mid cap","Industrials","$9,259,850,466","1.52%","10.55","1.19","3.18","Analyze"
"NLSN","Nielsen Holdings Plc","Common stocks","Mid cap","Industrials","$9,114,628,273","0.94%","18.58","2.59","2.70","Analyze"
"DVA","Davita Inc","Common stocks","Mid cap","Health Care","$9,064,572,000","0.00%","9.99","0.78","10.69","Analyze"
"MHK","Mohawk Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$9,000,995,370","0.00%","8.63","0.78","1.08","Analyze"
"NWL","Newell Brands Inc","Common stocks","Mid cap","Consumer Discretionary","$8,844,765,000","4.23%","12.19","0.83","2.20","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$8,825,384,739","4.25%","14.54","2.27","1.47","Analyze"
"FRT","Federal Realty Investment Trust","REITs","Mid cap","Real Estate","$8,773,552,366","0.97%","34.28","8.86","3.39","Analyze"
"TPR","Tapestry","Common stocks","Mid cap","Consumer Discretionary","$8,717,398,153","2.86%","10.13","1.31","3.47","Analyze"
"XRAY","Dentsply Sirona Inc","Common stocks","Mid cap","Health Care","$8,710,706,409","1.12%","23.66","2.08","1.78","Analyze"
"IVZ","Invesco Ltd","Common stocks","Mid cap","Financials","$8,613,631,579","3.64%","6.57","1.25","0.57","Analyze"
"ZION","Zions Bancorporation","Common stocks","Mid cap","Financials","$8,610,799,174","2.67%","8.85","3.12","1.38","Analyze"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Mid cap","Information Technology","$8,558,795,674","0.00%","-103.46","7.90","4.04","Analyze"
"BBWI","Bath & Body Works, Inc.","Common stocks","Mid cap","Consumer Discretionary","$8,513,537,543","1.87%","7.11","0.90","-5.68","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Mid cap","Industrials","$8,510,429,409","2.18%","16.15","0.87","3.07","Analyze"
"PNR","Pentair","Common stocks","Mid cap","Industrials","$8,415,535,413","1.60%","15.61","2.16","3.38","Analyze"
"DXC","DXC Technology Company","Common stocks","Mid cap","Information Technology","$8,166,201,564","0.00%","-13.50","0.49","1.73","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Mid cap","Consumer Discretionary","$7,751,097,258","0.00%","-11.89","1.94","-23.21","Analyze"
"RL","Ralph Lauren Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$7,736,225,492","2.58%","9.60","1.29","1.77","Analyze"
"VNO","Vornado Realty Trust","REITs","Mid cap","Real Estate","$6,350,544,389","6.27%","43.33","3.85","1.05","Analyze"
"ALK","Alaska Air Group Inc","Common stocks","Mid cap","Industrials","$6,159,585,602","0.00%","13.35","0.87","1.71","Analyze"
"PENN","Penn National Gaming Inc","Common stocks","Mid cap","Consumer Discretionary","$5,647,943,011","0.00%","15.00","0.91","1.45","Analyze"
"IPGP","IPG Photonics Corp","Common stocks","Mid cap","Information Technology","$5,383,860,994","0.00%","19.28","3.62","1.99","Analyze"
"UA","Under Armour Inc Class C","Common stocks","Mid cap","Consumer Discretionary","$4,900,843,200","0.00%","11.50","0.86","1.48","Analyze"
"UAA","Under Armour Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$4,900,843,200","0.00%","9.31","0.86","1.20","Analyze"
"PVH","PVH Corp","Common stocks","Mid cap","Consumer Discretionary","$4,830,704,173","0.11%","7.16","0.00","0.91","Analyze"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$3,384,675,000","0.00%","-1.62","2.90","4.42","Analyze"
